startyear;endyear;normalization;learningRate;lambdaValue;PCE;R2;hiddenSize;num_layers;dense
2009;2019;max100;base;0.0001;1.6651285886764526;0.04058250266826516;8;8;[2048, 2048]
2009;2019;max100;base;0.0001;1.4102051258087158;0.13182966523671824;8;4;[256, 512, 128]
2009;2019;max100;base;0.0001;1.5293320417404175;0.11676190425448851;16;4;[256, 512, 128]
2009;2019;max100;base;0.0001;1.3807013034820557;0.06632095784032457;8;8;[256, 512, 128]
2009;2019;max100;base;0.0001;1.58279550075531;0.045484735512186396;16;8;[256, 512, 128]
2009;2019;max100;base;0.003;2.277778387069702;0.091256092719171;8;4;[2048, 2048]
2009;2019;max100;base;0.003;1.7673364877700806;0.060219858243454716;8;8;[2048, 2048]
2009;2019;max100;base;0.003;1.4195752143859863;0.13280556550114134;8;4;[256, 512, 128]
2009;2019;max100;base;0.003;1.5747582912445068;0.05003958784814625;16;4;[256, 512, 128]
2009;2019;max100;base;0.003;1.652801752090454;0.049934105204235406;8;8;[256, 512, 128]
2009;2019;max100;base;0.003;1.6813181638717651;0.06812270425077321;16;8;[256, 512, 128]
2009;2019;max100;base;0.0;1.4940135478973389;0.10328134337979973;8;4;[2048, 2048]
2009;2019;max100;base;0.0;1.992034673690796;0.033260358366203696;16;4;[2048, 2048]
2009;2019;max100;base;0.0;1.4772493839263916;0.06636210586012657;8;8;[2048, 2048]
2009;2019;max100;base;0.0;1.777214765548706;0.03963057949284171;16;8;[2048, 2048]
2009;2019;max100;base;0.0;1.4329688549041748;0.09409140597665112;8;4;[256, 512, 128]
2009;2019;max100;base;0.0;1.657096028327942;0.08100445488143329;16;4;[256, 512, 128]
2009;2019;max100;base;0.0;1.477200984954834;0.07386836621172309;8;8;[256, 512, 128]
2009;2019;max100;base;0.0;1.678115725517273;0.04660542039941969;16;8;[256, 512, 128]
2009;2019;max100;base;0.3;3547.47802734375;0.05191182104701436;8;4;[2048, 2048]
2009;2019;max100;base;0.3;4791.65380859375;0.012852909211423097;8;8;[2048, 2048]
2009;2019;max100;base;0.3;455.7749938964844;0.11531908560601488;8;4;[256, 512, 128]
2009;2019;max100;base;0.3;7523.6396484375;0.07158655711090034;16;4;[256, 512, 128]
2009;2019;max100;base;0.3;86.85694885253906;0.06069557179334232;8;8;[256, 512, 128]
2009;2019;max100;base;0.3;433.4245910644531;0.05100489481124413;16;8;[256, 512, 128]
2009;2019;None;base;0.0001;1.118927001953125;0.054148499249191684;8;4;[2048, 2048]
2009;2019;None;base;0.0001;1.137030839920044;0.09261013169681147;16;4;[2048, 2048]
2009;2019;None;base;0.0001;1.111461877822876;0.08185135323751631;16;8;[2048, 2048]
2009;2019;None;base;0.0001;1.0788657665252686;0.07209227813962296;8;4;[256, 512, 128]
2009;2019;None;base;0.0001;1.123937964439392;0.09248087537099842;16;4;[256, 512, 128]
2009;2019;None;base;0.0001;1.1138451099395752;0.03239048593833931;8;8;[256, 512, 128]
2009;2019;None;base;0.0001;1.1241710186004639;0.05507816078695297;16;8;[256, 512, 128]
2009;2019;None;base;0.003;1.215658187866211;0.05424643749456077;8;4;[2048, 2048]
2009;2019;None;base;0.003;1.286548137664795;0.08291377411313755;16;4;[2048, 2048]
2009;2019;None;base;0.003;1.285835862159729;0.07866191400042667;16;8;[2048, 2048]
