startyear;endyear;normalization;learningRate;lambdaValue;PCE;R2;ResBlockWidth;numBlocks;dense;af
2009;2019;None;base;0.0001;1.60468590259552;0.0873530546187138;3;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0001;1.573875904083252;0.0915152943619831;5;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0001;1.6061515808105469;0.09100651969160951;7;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.0001;1.942832350730896;0.06819505472134374;3;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0001;1.7014914751052856;0.0766961194920704;5;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0001;1.743137001991272;0.05994081043141138;7;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0001;2.0015032291412354;0.0740143959433942;3;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0001;1.9275473356246948;0.06792638230573457;5;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0001;1.5192110538482666;0.11199683245559729;7;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0001;1.476926565170288;0.10289345088694879;3;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0001;1.5637116432189941;0.10738793787611095;5;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0001;1.4412144422531128;0.08846008858128711;7;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0001;1.563585638999939;0.09264771855117977;3;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0001;1.610762119293213;0.07237566912063377;5;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.0001;1.7417415380477905;0.10355473038046024;7;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;None;base;0.003;653.2249755859375;0.044972657483891045;3;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.003;10596.3330078125;0.0486855035278402;5;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.003;15787.7421875;0.06039118339138418;7;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;None;base;0.003;23715.138671875;0.046001934551933715;3;30;[256, 512, 128];torch.nn.modules.activation.ReLU
