startyear;endyear;normalization;learningRate;lambdaValue;PCE;R2;Kernel1channels;kernel2channels
2009;2019;etmax100;low;0.0;1.5899735689163208;0.1290781112177278;15;15
2009;2019;etmax100;low;0.0;1.7377220392227173;0.13685447601955025;20;15
2009;2019;etmax100;low;0.0;1.824654221534729;0.12823845224656763;15;20
2009;2019;etmax100;low;0.0;1.9565404653549194;0.13387876565601453;20;20
2009;2019;etmax100;low;0.3;1.7626032829284668;0.14054204392230182;15;15
2009;2019;etmax100;low;0.3;1.8459333181381226;0.13071586782565292;20;15
2009;2019;etmax100;low;0.3;1.7481043338775635;0.13700880264367457;15;20
2009;2019;etmax100;low;0.3;1.813239336013794;0.13598191189632766;20;20
2009;2019;etNone;low;0.0001;1.214656949043274;0.08510074776610048;15;15
2009;2019;etNone;low;0.0001;1.226805329322815;0.0855633571775954;20;15
2009;2019;etNone;low;0.0001;1.2074576616287231;0.08247431498234624;15;20
